company_id,company_name,hq_addr1,hq_addr2,hq_locality,hq_region,hq_postal_code,hq_country,website,industry,company_size
,UAE Exchange & Financial Services Ltd,,,,,,,,,
,Celestial Biolabs Limited,,,,,,,,,
128582,Teamtalk,,,,,,,http://www.teamtalk.co.nz,Telecommunications,51-200 employees
30296,InternetNZ,,,,,,,,Internet,1-10 employees
,FX Networks,,,,,,,,,
6896,Viewpoint,,,,,,,http://www.enliven.com,Computer Software,51-200 employees
20865,BCL,,,,,,,,Telecommunications,51-200 employees
,Tait Electronics,,,,,,,,,
,talentnow!,,,,,,,,,
400304,Helium Work Search,,,,,,,http://www.heliumnz.co.nz,Information Technology and Services,11-50 employees
,Spherion,,,,,,,,,
,Entity Group Limited,,,,,,,,,
794831,Project Management Institute New Zealand (PMINZ),,,,,,,http://www.pmi.org.nz,Professional Training & Coaching,1001-5000 employees
,Versant GmbH,,,,,,,,,
,Dataworks Europe,,,,,,,,,
,Giyus Isky,,,,,,,,,
2152606,CoolVision,,,,,,,http://www.coolvision.co.il/,Internet,51-200 employees
,Taldor,,,,,,,,,
,Hever ITR,,,,,,,,,
,888.com,,,,,,,,,
683372,Hever Hon Enoshi,,,,,,,http://hever@hever.co.il,Human Resources,
145353,MATIMOP,,,,,,,,International Trade and Development,11-50 employees
,Puzzlehead,,,,,,,,,
,Verint,,,,,,,,,
,"Amit, Pollak, Matalon & Co.",,,,,,,,,
,Meitar Liquornik Geva & Leshem Brandwein,,,,,,,,,
64598,Migdal Capital Markets,,,,,,,,Financial Services,201-500 employees
,SilverStripe,,,,,,,,,
,Catalyst Studios,,,,,,,,,
,Xero,,,,,,,,,
,Alcatel-Lucent,,,,,,,,,
,Vodafone Hutchison Australia - Crazy John's,,,,,,,,,
,Hudson,,,,,,,,,
,The ICEHOUSE,,,,,,,,,
,BigLittleBang,,,,,,,,,
,Victors & Spoils,,,,,,,,,
,Microsoft / Massive,,,,,,,,,
,MoboDev,,,,,,,,,
1557442,TEIQ,"Regus Centre, Plaza Level, AXA Building",41 Shortland St,Auckland,Auckland,1140,New Zealand,http://www.teiq.com,Information Technology and Services,11-50 employees
,Queensland Rail,,,,,,,,,
,Telecom New Zealand Limited,,,,,,,,,
,Optimation,,,,,,,,,
,Vodafone NZ,,,,,,,,,
,GlaxoSmithKline,,,,,,,,,
,Irish Life and Permanent,,,,,,,,,
,"Entrepreneurship Center, Tel Aviv University",,,,,,,,,
,CallApp,,,,,,,,,
,Mobilano,,,,,,,,,
,OnTheMob,,,,,,,,,
,Logia Group,,,,,,,,,
,YES DBS Satellite Services Ltd,,,,,,,,,
,Pixomondo,,,,,,,,,
,Prime Focus,,,,,,,,,
164744,Liquid Development,,,,,,,,Computer Games,11-50 employees
,Need A Nerd,,,,,,,,,
165476,PIPC,One Kingdom Street,,London,,W2 6BD,United Kingdom,http://www.cognizant.com/program-management,Management Consulting,"10,001+ employees"
,TelstraClear,,,,,,,,,
,Cogent Communications,,,,,,,,,
,Inland Revenue NZ,,,,,,,,,
,ACC,,,,,,,,,
,NZ Post,,,,,,,,,
,Sidley Austin LLP,,,,,,,,,
,Yahoo!,,,,,,,,,
,Boston Consulting Group,,,,,,,,,
,Comeet Job Interview Solutions,,,,,,,,,
1723703,Billiax - Software Solutions Ltd.,,,,,,,http://,Computer Software,
,TrendIT,,,,,,,,,
,Time To Know,,,,,,,,,
,SAP,,,,,,,,,
,SAP New Zealand,,,,,,,,,
,SAP Philippines,,,,,,,,,
,Vignette Corporation,,,,,,,,,
,SAP Australia,,,,,,,,,
,Oracle Corp,,,,,,,,,
2140219,Looking for My Next Position,,,,,,,http://,Marketing and Advertising,
,FTS,,,,,,,,,
,The Grin Factory,,,,,,,,,
,Shift,,,,,,,,,
,Shift ltd,,,,,,,,,
,SRL,,,,,,,,,
,The Simpl Group,,,,,,,,,
,Gen-i,,,,,,,,,
,Datacom,,,,,,,,,
,Inov8 Limited,,,,,,,,,
,JVP Media Labs,,,,,,,,,
,Naiot Venture Accelerator (Ofer Hi-Tech Group),,,,,,,,,
,NextNine,,,,,,,,,
,Hays,,,,,,,,,
,WisePricer,,,,,,,,,
,Matrix,,,,,,,,,
,ANZ National Bank,,,,,,,,,
,Fingo,,,,,,,,,
,Talent2/Duncan & Ryan Associates,,,,,,,,,
54833,Duncan & Ryan Associates,,,,,,,,Information Technology and Services,11-50 employees
,Ministry of Education,,,,,,,,,
,IAG,,,,,,,,,
,Accenture,,,,,,,,,
1011222,sProphet,,,,,,,http://w.w.w,Online Media,Myself Only
,FX Networks Limited,,,,,,,,,
,NZDF,,,,,,,,,
,Opus International Consultants Limited,,,,,,,,,
,Solnet Solutions,,,,,,,,,
,RNZSPCA,,,,,,,,,
,Selfridges,,,,,,,,,
,Platinum Marketing Services (International) Ltd,,,,,,,,,
,Marks and Spencer,,,,,,,,,
,John Lewis,,,,,,,,,
,Social Media Jazz,,,,,,,,,
,The George Washington University,,,,,,,,,
,Raytheon,,,,,,,,,
,Unisys,,,,,,,,,
,Tenable Network Security,,,,,,,,,
164386,INS,,,,,,,,Information Technology and Services,501-1000 employees
,American Management Systems (now CGI-AMS),,,,,,,,,
,Voxeo,,,,,,,,,
,AboveNet,,,,,,,,,
,Cisco Systems,,,,,,,,,
,IBM,,,,,,,,,
,Sun Microsystems (contracted to WA OITO),,,,,,,,,
,Talent Point,,,,,,,,,
,Domainz Limited,,,,,,,,,
,Coca-Cola Amatil,,,,,,,,,
,Trade Me Ltd,,,,,,,,,
,HSBC Investment Bank plc,,,,,,,,,
,Deloitte Consulting,,,,,,,,,
,Capital & Coast District Health Board,,,,,,,,,
,Ministry of Justice,,,,,,,,,
,Russell McVeagh,,,,,,,,,
,Massey University,,,,,,,,,
,Yonix,,,,,,,,,
,Creative HQ,,,,,,,,,
,Telecom New Zealand,,,,,,,,,
,Alcatel New Zealand,,,,,,,,,
,Alcatel,,,,,,,,,
,SilverStripe Limited,,,,,,,,,
,Moxie Communications Ltd,,,,,,,,,
,DBSophic,,,,,,,,,
,TechLoft,,,,,,,,,
,ECI Telecom,,,,,,,,,
,Tel Aviv University,,,,,,,,,
,Inland Revenue,,,,,,,,,
,New Zealand Trade and Enterprise,,,,,,,,,
,Startup City,,,,,,,,,
10304,CoreTech Consulting Group,,,,,,,,Information Technology and Services,201-500 employees
3750,ComputerLand,,,,,,,,Information Technology and Services,1001-5000 employees
,Alpha Recruitment,,,,,,,,,
,Deloitte,,,,,,,,,
,Lion Nathan,,,,,,,,,
,TalentPoint,,,,,,,,,
35616,AIM Proximity,,,,,,,http://www.aimproximity.co.nz,Marketing and Advertising,51-200 employees
1666026,"Deutsche Telekom AG, Gesch?ftskundenbereich, Direktvertrieb und Beratung",,,,,,,,Telecommunications,
788175,Makhteshim Agan Industries Ltd.,,,,,,,http://ma-industries.com,Chemicals,1001-5000 employees
,Mercer,,,,,,,,,
,Buck Consultants,,,,,,,,,
3577,Mellon Financial,,,,,,,http://www.mellon.com,Financial Services,"10,001+ employees"
,Optimal Workshop,,,,,,,,,
,Catalyst90,,,,,,,,,
,AbsoluteIT,,,,,,,,,
,Cameron Kennedy,,,,,,,,,
,NICTA,,,,,,,,,
,Motim Technologies Ltd,,,,,,,,,
,ISEN,,,,,,,,,
8478,Bezeq,,,,,,,http://3m.com,Telecommunications,"5001-10,000 employees"
,Wizard UI Consulting,,,,,,,,,
,Spider Tracks Limited,,,,,,,,,
,AIESEC,,,,,,,,,
,Grow Wellington Limited,,,,,,,,,
108930,Wellington Regional Chamber of Commerce,,,,,,,,Nonprofit Organization Management,11-50 employees
,Evolve IT Recruitment Ltd,,,,,,,,,
,Harvey Nash,,,,,,,,,
,Potentia Ltd,,,,,,,,,
,Simpl,,,,,,,,,
,Universal McCann Search,,,,,,,,,
,NetApp,,,,,,,,,
,Thomas Duryea Consulting,,,,,,,,,
,Hewlett-Packard,,,,,,,,,
,AgResearch,,,,,,,,,
,Playtech,,,,,,,,,
154269,MiXTV,,,,,,,,Computer Software,11-50 employees
146166,Noga Communications,,,,,,,,Broadcast Media,51-200 employees
,AgaMatrix,,,,,,,,,
,"Harvard University, School of Public Health, Department of Biostatistics",,,,,,,,,
,Akiban Technologies,,,,,,,,,
,Rafael,,,,,,,,,
,KLA-Tencor,,,,,,,,,
,University of Haifa,,,,,,,,,
,Capgemini,,,,,,,,,
,Fujitsu New Zealand Limited,,,,,,,,,
,"Ministry of Justice, New Zealand",,,,,,,,,
,Pikselin,,,,,,,,,
,Gen-i (a Division of Telecom NZ),,,,,,,,,
,Ferrit - Telecom New Zealand,,,,,,,,,
,CWA New Media,,,,,,,,,
,Vail Resorts,,,,,,,,,
,The Forum Corporation,,,,,,,,,
,Hever,,,,,,,,,
,New Zealand Ministry of Justice,,,,,,,,,
59590,Innovus,,,,,,,,Computer Software,11-50 employees
150437,iPayroll Ltd,iPayroll House Level 6,93 Boulcott Street,WELLINGTON,,6011,New Zealand,http://www.ipayroll.co.nz,Information Technology and Services,11-50 employees
,Fronde,,,,,,,,,
,Datacom Systems Limited,,,,,,,,,
42046,Coridan,,,,,,,http://www.granitepoint.com/,Management Consulting,1-10 employees
14037,2Train4,,,,,,,http://www.alunasoft.com,Computer Software,11-50 employees
,Dialog Consulting for Human Resources,,,,,,,,,
499123,Bizportal.co.il,,,,,,,http://www.bizportal.co.il,Marketing and Advertising,51-200 employees
,VisionMap,,,,,,,,,
,The Tel Aviv Stock Exchange,,,,,,,,,
,Bank Leumi,,,,,,,,,
,Sushi Venture Partners,,,,,,,,,
,013 Netvision,,,,,,,,,
,BBC,,,,,,,,,
,TVNZ,,,,,,,,,
,McMillan UK,,,,,,,,,
45221,S4C,,,,,,,,Broadcast Media,201-500 employees
1766,BBC Television,,,,,,,,Broadcast Media,"10,001+ employees"
,ANZ,,,,,,,,,
,SAS Institute New Zealand Ltd,,,,,,,,,
,"Datacom Systems Limited, New Zealand",,,,,,,,,
,Business Connexion (Pty) Ltd,,,,,,,,,
,Software Futures,,,,,,,,,
,Logical (Pty) Ltd,,,,,,,,,
94919,SA Air Force,,,,,,,,Military,51-200 employees
,Round Peg Ltd,,,,,,,,,
,"Ministry of Social Development in Wellington, New Zealand",,,,,,,,,
,Hudson Global Resources,,,,,,,,,
,WHSmith,,,,,,,,,
,BSkyB,,,,,,,,,
,Virgin Media,,,,,,,,,
,TalkTalk,,,,,,,,,
,Vodafone,,,,,,,,,
,Cable and Wireless,,,,,,,,,
,The Mekong Club,,,,,,,,,
,Optimal Usability,,,,,,,,,
1625629,SHIFT360,,,,,,,http://,Nonprofit Organization Management,
,Unisys New Zealand,,,,,,,,,
,Harvey Norman,,,,,,,,,
,Fonterra,,,,,,,,,
,Samsung SDS,,,,,,,,,
3972,Baan,,,,,,,,Computer Software,1001-5000 employees
,Valve Software,,,,,,,,,
,Weta Digital Ltd,,,,,,,,,
,Weta Digital,,,,,,,,,
9285,Netlink,,,,,,,http://www.last.fm/user/cbuijs/,Information Technology and Services,11-50 employees
,Apigee,,,,,,,,,
,PEFCU,,,,,,,,,
,Fusion Alliance,,,,,,,,,
,90 Seconds,,,,,,,,,
,Heaps!,,,,,,,,,
,Airspace,,,,,,,,,
,Made From New Zealand,,,,,,,,,
,Energy Intellect Ltd,,,,,,,,,
,Department of Conservation,,,,,,,,,
,Ministry for the Environment,,,,,,,,,
221490,Freelance / Graphic Design Services,,,,,,,http://www.rageagainstsociety.com,Graphic Design,Myself Only
,Digital Arts Network Auckland,,,,,,,,,
1826723,Netcom Malam-Team International Ltd.,,,,,,,http://www.netcom-intl.com,Defense & Space,
,10x.org.il,,,,,,,,,
961684,Hava & Adam Eco-Educational Farm,,,,,,,http://www.havaveadam.org,Nonprofit Organization Management,11-50 employees
,Syneron,,,,,,,,,
60370,Netliant,,,,,,,,Computer Software,11-50 employees
,Omek Interactive LTD,,,,,,,,,
,IDT,,,,,,,,,
,McKit,,,,,,,,,
1398129,Carmel-Forge LTD,,,,,,,http://www.carmel-forge.com,Aviation & Aerospace,
,UMOOVE LTD.,,,,,,,,,
,Ripples HLS Group,,,,,,,,,
,Matrix Global,,,,,,,,,
,John Bryce,,,,,,,,,
,Office of State Revenue Queensland,,,,,,,,,
,Runge Mining,,,,,,,,,
,Rio Tinto,,,,,,,,,
,Mitsubishi International,,,,,,,,,
,Parmalat,,,,,,,,,
,IAI,,,,,,,,,
121153,Sapir,,,,,,,,Internet,11-50 employees
,Pinnacle Recruitment ( IT specialist at OCG Consulting Group),,,,,,,,,
,Ketchum,,,,,,,,,
,Igniter Limited,,,,,,,,,
,Transpower,,,,,,,,,
,Royal New Zealand Navy,,,,,,,,,
,Contact Energy Ltd,,,,,,,,,
,Sapphire Technologies,,,,,,,,,
,Aircom International,,,,,,,,,
,Surrey County Council,,,,,,,,,
1749479,Kane FM Ltd,,,,,,,http://www.kanefm.com,Music,
,Technology Resourcing,,,,,,,,,
72381,Agile HR,,,,,,,http://www.agilehr.co.uk,Staffing and Recruiting,1-10 employees
72381,Agile HR,,,,,,,http://www.agilehr.co.uk,Staffing and Recruiting,1-10 employees
1345939,Earthquake Commission,,,,,,,http://www.eqc.govt.nz/,Insurance,
95013,Resultex Ltd,,,,,,,,Information Technology and Services,11-50 employees
,"Advantech Technologies, Ltd.",,,,,,,,,
582118,Bank Igud,,,,,,,http://www.ubi.co.il,Banking,501-1000 employees
,Modica Group,,,,,,,,,
499123,Bizportal.co.il,,,,,,,http://www.bizportal.co.il,Marketing and Advertising,51-200 employees
,Texas Mutual Insurance Company,,,,,,,,,
,Dell,,,,,,,,,
119068,Live Linx,,,,,,,,Writing and Editing,11-50 employees
,Studio MiPatio,,,,,,,,,
,Startforex,,,,,,,,,
,Play4Skill,,,,,,,,,
,CogniFit,,,,,,,,,
85297,Reut,,,,,,,,Internet,51-200 employees
321954,Sisu Limited,,,,,,,http://www.sisusoftware.com,Information Technology and Services,1-10 employees
,Philips,,,,,,,,,
,Media Catalyst,,,,,,,,,
48090,XRSolution Oy,,,,,,,,Information Technology and Services,11-50 employees
165856,Satama Interactive,,,,,,,,Internet,201-500 employees
,Oracle Finland,,,,,,,,,
657833,Pioneer International Financial Services,,,,,,,http://www.pioneerfinance.co.il,Financial Services,11-50 employees
74071,First International Bank of Israel,,,,,,,,Banking,1001-5000 employees
,BNP Paribas,,,,,,,,,
,The New Zealand King Salmon Co Ltd,,,,,,,,,
,Pinnacle Life,,,,,,,,,
,Glaister Ennor,,,,,,,,,
,Consist,,,,,,,,,
,Tikal Knowledge,,,,,,,,,
,Ministry For Primary Industries,,,,,,,,,
,Ministry Of Agriculture & Forestry,,,,,,,,,
37846,Pitango Venture Capital,,,,,,,,Venture Capital & Private Equity,11-50 employees
,Rothschild,,,,,,,,,
,Morgan Stanley,,,,,,,,,
,Totango,,,,,,,,,
,TaKaDu,,,,,,,,,
,OpTier,,,,,,,,,
,CloudShare,,,,,,,,,
,dbMotion,,,,,,,,,
,Gemini Israel VC fund,,,,,,,,,
,Metrolight,,,,,,,,,
,eBuzzing - Wikio,,,,,,,,,
64879,Neocleus,,,,,,,,Computer & Network Security,11-50 employees
22600,"Diligent Technologies, an IBM company",,,,,,,http://www.diligent.com,Computer Software,51-200 employees
,"Traiana, an ICAP Group Company",,,,,,,,,
,"Itemfield, an Informatica company",,,,,,,,,
17523,Sphera,,,,,,,http://www.sphera.com,Computer Software,51-200 employees
,Nexus Telecom,,,,,,,,,
,ECI,,,,,,,,,
,Planit Test Management Solutions,,,,,,,,,
,University of Melbourne,,,,,,,,,
,NGA.NET,,,,,,,,,
,Database Consultants Australia,,,,,,,,,
,Achievement Awards Group,,,,,,,,,
,Mondi Business Paper,,,,,,,,,
,Version 1,,,,,,,,,
,ulster bank,,,,,,,,,
,Intel Co.,,,,,,,,,
,Elbit Systems,,,,,,,,,
395809,Energy Efficiency and Conservation Authority,PO Box 388,,Wellington,,6011,New Zealand,http://www.eeca.govt.nz,Government Administration,51-200 employees
,EMGI,,,,,,,,,
690158,MG Capital Ltd.,,,,,,,http://www.mgequity.co.uk,Investment Management,1-10 employees
1892972,MG Capital,,,,,,,http://,Investment Management,
,"Z-Axis Tech Solutions Inc.,",,,,,,,,,
,GSS America InfoTech Ltd.,,,,,,,,,
,Net Impact,,,,,,,,,
8969,HP Enterprise Services,hgjfghfgfdgdfghdfhdgh,,ghfghfghfgh,,,United States,http://www.nnn.com,Hospital & Health Care,"10,001+ employees"
,Compaq,,,,,,,,,
,KPMG Consulting,,,,,,,,,
,Digital Equipment Corporation,,,,,,,,,
,Open Polytechnic of New Zealand,,,,,,,,,
,Biztech Enterprise Solutions (NZ),,,,,,,,,
,Ponoko,,,,,,,,,
,3months,,,,,,,,,
,Springload,,,,,,,,,
,UBS Warburg,,,,,,,,,
,Aon,,,,,,,,,
,Sparkbox Ventures,,,,,,,,,
,EDANZ - Deloitte Partnership,,,,,,,,,
2062,Stratex Networks,,,,,,,,Telecommunications,501-1000 employees
,LIFEHACK,,,,,,,,,
1543511,Auckland Tourism Events & Economic Development,,,,,,,http://www.aucklandnz.com,Program Development,201-500 employees
1294485,Verve Consulting,,,,,,,http://www.verve.co.nz,Events Services,
,Power By Proxi,,,,,,,,,
,Escalator Programme: EDANZ - Deloitte Partnership,,,,,,,,,
,Cancer Society,,,,,,,,,
66413,Zespri International,,,,,,,,Food Production,51-200 employees
,Fonterra Dairy Cooperative,,,,,,,,,
,Fonterra Co-operative Group,,,,,,,,,
,Carter Holt Harvey,,,,,,,,,
,Bank of New Zealand,,,,,,,,,
,Kiwibank,,,,,,,,,
,Coca-Cola Amatil. Cafe Direct,,,,,,,,,
,Ross Human Directions,,,,,,,,,
,Department of the Prime Minister and Cabinet,,,,,,,,,
,"Technion-Israel Institute of Technology, Aeronautical Research Center,",,,,,,,,,
39070,Israel Export Institute,29 Hamered St,,Tel-Aviv,,68125,Israel,http://www.export.gov.il,International Trade and Development,51-200 employees
,"Child, Youth and Family",,,,,,,,,
395809,Energy Efficiency and Conservation Authority,PO Box 388,,Wellington,,6011,New Zealand,http://www.eeca.govt.nz,Government Administration,51-200 employees
,RealCommerce Ltd.,,,,,,,,,
45048,Netica,,,,,,,,Internet,11-50 employees
78071,Tippcom,,,,,,,,Telecommunications,11-50 employees
,CEMEX,,,,,,,,,
,GEON print & communications solutions,,,,,,,,,
,Soar Printing,,,,,,,,,
,Boost New Media,,,,,,,,,
,3months.com,,,,,,,,,
,Google,,,,,,,,,
131851,MentorWave Technologies,,,,,,,http://www.quiksee.com,Computer Software,11-50 employees
,HRD Israel,,,,,,,,,
,Antal International,,,,,,,,,
,elta,,,,,,,,,
